Name,Calories,Brand
Sausage Biscuit with Egg (Large Size Biscuit),550,mc
Sausage Biscuit (Regular Size Biscuit),400,mc
Sausage Biscuit (Large Size Biscuit),460,mc
Biscuit (Regular Size),230,mc
Biscuit (Large Size),300,mc
"Bacon, Egg & Cheese McGriddles",460,mc
"¾Sausage, Egg & Cheese McGriddles¾",560,mc
Sausage McGriddles,420,mc
Big Breakfast (Regular Size Biscuit),720,mc
Big Breakfast (Large Size Biscuit),780,mc
Deluxe Breakfast (Regular Size Biscuit),1220,mc
Deluxe Breakfast (Large Size Biscuit),1280,mc
Sausage Burrito,300,mc
Hotcakes and Sausage (2 pats margarine & syrup),780,mc
Hotcakes (2 pats margarine & syrup),610,mc
Sausage Patty,170,mc
Scrambled Eggs (2),170,mc
Hash Browns,140,mc
Grape Jam,35,mc
Strawberry Preserves,35,mc
"12"" Italian Sub on White",380,Subway
"12"" Italian Sub on Wheat",420,Subway
"6"" Italian Sub on White",190,Subway
"6"" Italian Sub on Wheat",210,Subway
"6"" Ham Sandwich on Deli Style Roll",224,Subway
"6"" Ham, cold",293,Subway
"6"" Honey Mustard Ham",311,Subway
"6"" Meatball, hot",413,Subway
"6"" Red Wine Vinaigrette Club",350,Subway
"6"" Roast Beef Sandwich on Deli Style Roll",236,Subway
"6"" Roast Beef, cold",296,Subway
"6"" Roasted Chicken Breast, hot",342,Subway
"6"" SUBWAY Club, cold",304,Subway
"6"" SUBWAY Melt, hot",370,Subway
"6"" Seafood & Crab, cold",338,Subway
"6"" Southwest Turkey Bacon",407,Subway
"6"" Steak & Cheese, hot",363,Subway
"6"" Super Classic Italian BMT",668,Subway
"6"" Super Cold Cut Trio",517,Subway
"6"" Super Ham",354,Subway
"6"" Super Meatball",594,Subway
"6"" Super Roast Beef",360,Subway
"6"" Super Roasted Chicken Breast",453,Subway
"6"" Super SUBWAY Club",377,Subway
"6"" Super SUBWAY Melt",509,Subway
"6"" Super Seafood & Crab made with light mayonnaise",444,Subway
"6"" Super Steak & Cheese",495,Subway
"6"" Super Tuna made with light mayonnaise",525,Subway
"6"" Super Turkey & Ham",343,Subway
"6"" Super Turkey & Ham",343,Subway
"6"" Super Turkey Breast",333,Subway
"6"" Sweet Onion Chicken Teriyaki",374,Subway
"6"" Veggie Delite, cold",232,Subway
Breadsticks,116,Pizzahut
Cheesy Bread,142,Pizzahut
Barbeque Buffalo Wings,50,Pizzahut
Hot Buffalo Wings,45,Pizzahut
"Anchovies Topping Only, 12 inches, Hand Tossed",408,Pizzahut
"Anchovies Topping Only, 12 inches, Thin Crust",307,Pizzahut
"Anchovies Topping Only, 12 inches, Ultimate Deep Dish",516,Pizzahut
"Anchovies Topping Only, 14 inches, Hand Tossed",561,Pizzahut
"Anchovies Topping Only, 14 inches, Thin Crust",427,Pizzahut
"Anchovies Topping Only, 14 inches, Ultimate Deep Dish",722,Pizzahut
"Bacon Topping Only, 12 inches, Hand Tossed",477,Pizzahut
"Bacon Topping Only, 12 inches, Thin Crust",375,Pizzahut
"Bacon Topping Only, 12 inches, Ultimate Deep Dish",584,Pizzahut
"Bacon Topping Only, 14 inches, Hand Tossed",669,Pizzahut
"Bacon Topping Only, 14 inches, Thin Crust",535,Pizzahut
"Bacon Topping Only, 14 inches, Ultimate Deep Dish",830,Pizzahut
"Bacon Topping Only, 6 inches, Ultimate Deep Dish",680,Pizzahut
"Banana Peppers Only, 12 inches, Hand Tossed",380,Pizzahut
"Banana Peppers Only, 12 inches, Thin Crust",278,Pizzahut
"Banana Peppers Only, 14 inches, Hand Tossed",523,Pizzahut
"Banana Peppers Only, 14 inches, Thin Crust",389,Pizzahut
"Banana Peppers Topping Only, 12 inches, Ultimate Deep Dish",487,Pizzahut
"Banana Peppers Topping Only, 14 inches, Ultimate Deep Dish",684,Pizzahut
"Banana Peppers Topping Only, 6 inches, Ultimate Deep Dish",601,Pizzahut
"Beef Topping Only, 12 inches, Hand Tossed",452,Pizzahut
"Beef Topping Only, 12 inches, Thin Crust",350,Pizzahut
"Beef Topping Only, 12 inches, Ultimate Deep Dish",560,Pizzahut
"Beef Topping Only, 14 inches, Hand Tossed",627,Pizzahut
"Beef Topping Only, 14 inches, Thin Crust",493,Pizzahut
"Beef Topping Only, 14 inches, Ultimate Deep Dish",788,Pizzahut
"Beef Topping Only, 6 inches, Ultimate Deep Dish",642,Pizzahut
"Cheddar Topping Only, 12 inches, Hand Tossed",432,Pizzahut
"Cheddar Topping Only, 12 inches, Thin Crust",330,Pizzahut
"Cheddar Topping Only, 12 inches, Ultimate Deep Dish",539,Pizzahut
"Cheddar Topping Only, 14 inches, Hand Tossed",587,Pizzahut
"Cheddar Topping Only, 14 inches, Thin Crust",453,Pizzahut
"Cheddar Topping Only, 14 inches, Ultimate Deep Dish",748,Pizzahut
"Cheddar Topping Only, 6 inches, Ultimate Deep Dish",683,Pizzahut
"Cheese Only, 12 inches, Hand Tossed",375,Pizzahut
"Cheese Only, 12 inches, Thin Crust",273,Pizzahut
"Cheese Only, 12 inches, Ultimate Deep Dish",482,Pizzahut
"Cheese Only, 14 inches, Hand Tossed",516,Pizzahut
"Cheese Only, 14 inches, Thin Crust",382,Pizzahut
"Cheese Only, 14 inches, Ultimate Deep Dish",677,Pizzahut
"Cheese Only, 6 inches, Ultimate Deep Dish",598,Pizzahut
"Extra Cheese Topping Only, 12 inches, Hand Tossed",423,Pizzahut
"Extra Cheese Topping Only, 12 inches, Thin Crust",321,Pizzahut
"Extra Cheese Topping Only, 12 inches, Ultimate Deep Dish",531,Pizzahut
"Extra Cheese Topping Only, 14 inches, Hand Tossed",584,Pizzahut
"Extra Cheese Topping Only, 14 inches, Thin Crust",450,Pizzahut
"Extra Cheese Topping Only, 14 inches, Ultimate Deep Dish",745,Pizzahut
"Extra Cheese Topping Only, 6 inches, Ultimate Deep Dish",656,Pizzahut
"Fresh Mushrooms Topping Only, 12 inches, Hand Tossed",381,Pizzahut
"Fresh Mushrooms Topping Only, 12 inches, Thin Crust",279,Pizzahut
"Fresh Mushrooms Topping Only, 12 inches, Ultimate Deep Dish",488,Pizzahut
"Fresh Mushrooms Topping Only, 14 inches, Hand Tossed",525,Pizzahut
"Fresh Mushrooms Topping Only, 14 inches, Thin Crust",391,Pizzahut
"Fresh Mushrooms Topping Only, 14 inches, Ultimate Deep Dish",686,Pizzahut
"Fresh Mushrooms Topping Only, 6 inches, Ultimate Deep Dish",600,Pizzahut
"Green Olives Topping Only, 12 inches, Hand Tossed",379,Pizzahut
"Green Olives Topping Only, 12 inches, Thin Crust",291,Pizzahut
"Green Olives Topping Only, 12 inches, Ultimate Deep Dish",501,Pizzahut
"Green Olives Topping Only, 14 inches, Hand Tossed",540,Pizzahut
"Green Olives Topping Only, 14 inches, Thin Crust",407,Pizzahut
"Green Olives Topping Only, 14 inches, Ultimate Deep Dish",701,Pizzahut
"Green Olives Topping Only, 6 inches, Ultimate Deep Dish",608,Pizzahut
"Green Peppers Topping Only, 12 inches, Hand Tossed",379,Pizzahut
"Green Peppers Topping Only, 12 inches, Thin Crust",277,Pizzahut
"Green Peppers Topping Only, 12 inches, Ultimate Deep Dish",486,Pizzahut
"Green Peppers Topping Only, 14 inches, Hand Tossed",521,Pizzahut
"Green Peppers Topping Only, 14 inches, Thin Crust",387,Pizzahut
"Green Peppers Topping Only, 14 inches, Ultimate Deep Dish",682,Pizzahut
"Green Peppers Topping Only, 6 inches, Ultimate Deep Dish",600,Pizzahut
"Ham Topping Only, 12 inches, Hand Tossed",398,Pizzahut
"Ham Topping Only, 12 inches, Thin Crust",296,Pizzahut
"Ham Topping Only, 12 inches, Ultimate Deep Dish",505,Pizzahut
"Ham Topping Only, 14 inches, Hand Tossed",547,Pizzahut
"Ham Topping Only, 14 inches, Thin Crust",414,Pizzahut
"Ham Topping Only, 14 inches, Ultimate Deep Dish",708,Pizzahut
"Ham Topping Only, 6 inches, Ultimate Deep Dish",615,Pizzahut
"Italian Sausage Topping Only, 12 inches, Hand Tossed",451,Pizzahut
"Italian Sausage Topping Only, 12 inches, Thin Crust",350,Pizzahut
"Italian Sausage Topping Only, 12 inches, Ultimate Deep Dish",559,Pizzahut
"Italian Sausage Topping Only, 14 inches, Hand Tossed",626,Pizzahut
"Italian Sausage Topping Only, 14 inches, Thin Crust",492,Pizzahut
"Italian Sausage Topping Only, 14 inches, Ultimate Deep Dish",787,Pizzahut
"Italian Sausage Topping Only, 6 inches, Ultimate Deep Dish",642,Pizzahut
"Onion Topping Only, 12 inches, Hand Tossed",380,Pizzahut
"Onion Topping Only, 12 inches, Thin Crust",278,Pizzahut
"Onion Topping Only, 12 inches, Ultimate Deep Dish",487,Pizzahut
"Onion Topping Only, 14 inches, Hand Tossed",523,Pizzahut
"Onion Topping Only, 14 inches, Thin Crust",389,Pizzahut
"Onion Topping Only, 14 inches, Ultimate Deep Dish",684,Pizzahut
"Onion Topping Only, 6 inches, Ultimate Deep Dish",601,Pizzahut
"Pepperoni Topping Only, 12 inches, Hand Tossed",448,Pizzahut
"Pepperoni Topping Only, 12 inches, Thin Crust",347,Pizzahut
"Pepperoni Topping Only, 12 inches, Ultimate Deep Dish",556,Pizzahut
"Pepperoni Topping Only, 14 inches, Hand Tossed",614,Pizzahut
"Pepperoni Topping Only, 14 inches, Thin Crust",481,Pizzahut
"Pepperoni Topping Only, 14 inches, Ultimate Deep Dish",775,Pizzahut
"Pepperoni Topping Only, 6 inches, Ultimate Deep Dish",647,Pizzahut
"Pineapple Tidbits Topping Only -12 inches, Hand Tossed",387,Pizzahut
"Pineapple Tidbits Topping Only -12 inches, Thin Crust",285,Pizzahut
"Pineapple Tidbits Topping Only, 12 inches, Ultimate Deep Dish",494,Pizzahut
"Pineapple Tidbits Topping Only, 14 inches, Hand Tossed",535,Pizzahut
"Pineapple Tidbits Topping Only, 14 inches, Thin Crust",401,Pizzahut
"Pineapple Tidbits Topping Only, 14 inches, Ultimate Deep Dish",696,Pizzahut
"Pineapple Tidbits Topping Only, 6 inches, Ultimate Deep Dish",602,Pizzahut
"Ripe Black Olives Topping Only, 12 inches, Hand Tossed",395,Pizzahut
"Ripe Black Olives Topping Only, 12 inches, Thin Crust",294,Pizzahut
"Ripe Black Olives Topping Only, 14 inches, Hand Tossed",544,Pizzahut
"Ripe Black Olives Topping Only, 14 inches, Thin Crust",410,Pizzahut
"Ripe Olives Topping Only, 12 inches, Ultimate Deep Dish",503,Pizzahut
"Ripe Olives Topping Only, 14 inches, Ultimate Deep Dish",705,Pizzahut
"Ripe Olives Topping Only, 6 inches, Ultimate Deep Dish",609,Pizzahut
Original Recipe Chicken - Whole Wing,145,KFC
Original Recipe Chicken - Breast,370,KFC
Original Recipe Chicken - Drumstick,140,KFC
Original Recipe Chicken - Thigh,360,KFC
Extra Crispy Chicken - Whole Wing,190,KFC
Extra Crispy Chicken - Breast,470,KFC
Extra Crispy Chicken - Drumstick,160,KFC
Extra Crispy Chicken - Thigh,370,KFC
Hot & Spicy Chicken - Whole Wing,180,KFC
Hot & Spicy Chicken - Breast,450,KFC
Hot & Spicy Chicken - Drumstick,140,KFC
Hot & Spicy Chicken - Thigh,390,KFC
Original Recipe Sandwich w/ sauce,450,KFC
Original Recipe Sandwich w/o sauce,360,KFC
Triple Crunch Sandwich w/ sauce,490,KFC
Triple Crunch Sandwich w/o sauce,390,KFC
Triple Crunch Zinger Sandwich w/ sauce,550,KFC
Triple Crunch Zinger Sandwich w/o sauce,390,KFC
Tender Roast Sandwich w/ sauce¾,350,KFC
Tender Roast Sandwich w/o sauce,270,KFC
Honey BBQ Flavored Sandwich,310,KFC
Twister,600,KFC
Crispy Caesar Twister,744,KFC
Honey BBQ Crunch Melt,556,KFC
Colonels Crispy Strips (3),340,KFC
Spicy Crispy Strips (3),335,KFC
Honey BBQ Strips (3),377,KFC
Popcorn Chicken - Small,362,KFC
Popcorn Chicken - Large,620,KFC
Chunky Chicken Pot Pie (after baking),770,KFC
Hot Wings Pieces (6),471,KFC
Honey BBQ Pieces (6),607,KFC
Blazin Twister,719,KFC
Blazin Strips (3),315,KFC
Mashed Potatoes w/Gravy,120,KFC
Potato Wedges,376,KFC
Macaroni & Cheese,180,KFC
Corn on the Cob,150,KFC
BBQ Baked Beans,190,KFC
Cole Slaw,232,KFC
Potato Salad,230,KFC
Green Beans,45,KFC
Mean Greens,70,KFC
Biscuit (1),180,KFC
